ecosystem,total_packages,valid_spdx,invalid_or_missing,coverage_percent
actions,827,733,94,88.63
adelie,7186,4553,2633,63.36
alpine,92284,72191,20093,78.23
bioconductor,547,372,175,68.01
bower,6511,2876,3635,44.17
cargo,8750,4988,3762,57.01
carthage,182,118,64,64.84
clojars,1263,913,350,72.29
cocoapods,8999,8345,654,92.73
conda,1339,1266,73,94.55
cpan,11176,8775,2401,78.52
cran,1874,607,1267,32.39
deno,2234,0,2234,0.0
docker,163351,0,163351,0.0
elm,180,180,0,100.0
elpa,121,0,121,0.0
go,1590932,678049,912883,42.62
hackage,1175,1165,10,99.15
hex,1005,826,179,82.19
homebrew,560,487,73,86.96
julia,1577,1550,27,98.29
maven,28015,8699,19316,31.05
npm,227054,210402,16652,92.67
nuget,41382,8850,32532,21.39
openvsx,2010,1467,543,72.99
packagist,21536,20634,902,95.81
postmarketos,2233,1840,393,82.4
pub,3792,0,3792,0.0
puppet,1089,1004,85,92.19
pypi,39828,25573,14255,64.21
racket,524,0,524,0.0
rubygems,66648,43590,23058,65.4
spack,1914,0,1914,0.0
swiftpm,457,295,162,64.55
vcpkg,152,110,42,72.37
